0.000,"Info","2024-11-06 13:11:48","Service 'LightDarktestCS_final' : Execution start"
0.000,"Info","Subject Identification","192.168.1.101"
0.000,"Info","Apparatus","Exeter_Zantiks LT - 101"
0.000,"Info","Unit ID","AC9F18"
"TIME","TIME_BIN","A1_TOTAL_DISTANCE","A2_TOTAL_DISTANCE","A3_TOTAL_DISTANCE","A4_TOTAL_DISTANCE","A1_Z1_D","A1_Z2_D","A1_Z3_D","A1_Z4_D","A2_Z1_D","A2_Z2_D","A2_Z3_D","A2_Z4_D","A3_Z1_D","A3_Z2_D","A3_Z3_D","A3_Z4_D","A4_Z1_D","A4_Z2_D","A4_Z3_D","A4_Z4_D","A1_Z1_T","A1_Z2_T","A1_Z3_T","A1_Z4_T","A2_Z1_T","A2_Z2_T","A2_Z3_T","A2_Z4_T","A3_Z1_T","A3_Z2_T","A3_Z3_T","A3_Z2_T","A4_Z1_T","A4_Z2_T","A4_Z3_T","A4_Z4_T","A1_Z1_C","A1_Z2_C","A1_Z3_C","A1_Z4_C","A2_Z1_C","A2_Z2_C","A2_Z3_C","A2_Z4_C","A3_Z1_C","A3_Z2_C","A3_Z3_C","A3_Z4_C","A4_Z1_C","A4_Z2_C","A4_Z3_C","A4_Z4_C"
51.462,1,35.4,34.4,46.6,39.9,25.8,0.0,9.3,0.0,0.0,0.0,34.1,0.0,0.0,0.0,46.7,0.0,0.0,0.0,40.1,0.0,0.698,0.000,0.268,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
52.467,2,70.2,53.9,50.7,180.5,0.0,0.0,70.3,0.0,0.0,0.0,54.4,0.0,0.0,0.0,38.4,12.1,115.9,15.4,48.9,0.0,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.859,0.140,0.633,0.107,0.259,0.000,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0
53.473,3,45.1,35.3,59.7,44.8,0.0,0.0,39.0,0.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,59.9,0.0,3.8,0.0,41.2,0.046,0.000,0.920,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.020,0.000,0.979,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
54.478,4,74.4,30.1,87.5,31.0,74.7,0.0,0.0,0.0,0.0,0.0,30.2,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,30.8,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
55.483,5,71.6,42.7,19.8,7.7,52.7,0.0,14.3,0.0,0.0,0.0,17.6,24.7,0.0,0.0,0.0,19.8,0.0,0.0,0.0,7.7,0.709,0.000,0.257,0.000,0.000,0.000,0.576,0.423,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
56.495,6,36.1,46.7,25.5,8.1,0.0,0.0,36.2,0.0,0.0,0.0,0.0,46.7,0.0,0.0,0.0,25.3,0.0,0.0,0.0,8.2,0.000,0.000,1.005,0.000,0.000,0.000,0.000,1.005,0.000,0.000,0.000,1.005,0.000,0.000,0.000,1.005,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
57.500,7,77.0,53.3,44.0,0.0,39.5,0.0,31.3,0.0,0.0,0.0,0.0,53.8,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.474,0.000,0.492,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
58.506,8,13.8,44.5,12.3,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,44.5,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
59.511,9,0.0,13.7,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
60.517,10,53.2,16.9,32.7,0.0,47.8,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,4.9,0.0,28.0,0.0,0.0,0.0,0.0,0.909,0.000,0.057,0.000,0.000,0.000,0.000,1.000,0.000,0.190,0.000,0.809,0.000,0.000,0.000,1.000,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
