0.000,"Info","2024-11-06 13:20:43","Service 'LightDarktestCS_final' : Execution start"
0.000,"Info","Subject Identification","192.168.1.102"
0.000,"Info","Apparatus","Exeter Zantiks LT - 2"
0.000,"Info","Unit ID","7D87B1"
"TIME","TIME_BIN","A1_TOTAL_DISTANCE","A2_TOTAL_DISTANCE","A3_TOTAL_DISTANCE","A4_TOTAL_DISTANCE","A1_Z1_D","A1_Z2_D","A1_Z3_D","A1_Z4_D","A2_Z1_D","A2_Z2_D","A2_Z3_D","A2_Z4_D","A3_Z1_D","A3_Z2_D","A3_Z3_D","A3_Z4_D","A4_Z1_D","A4_Z2_D","A4_Z3_D","A4_Z4_D","A1_Z1_T","A1_Z2_T","A1_Z3_T","A1_Z4_T","A2_Z1_T","A2_Z2_T","A2_Z3_T","A2_Z4_T","A3_Z1_T","A3_Z2_T","A3_Z3_T","A3_Z2_T","A4_Z1_T","A4_Z2_T","A4_Z3_T","A4_Z4_T","A1_Z1_C","A1_Z2_C","A1_Z3_C","A1_Z4_C","A2_Z1_C","A2_Z2_C","A2_Z3_C","A2_Z4_C","A3_Z1_C","A3_Z2_C","A3_Z3_C","A3_Z4_C","A4_Z1_C","A4_Z2_C","A4_Z3_C","A4_Z4_C"
51.405,1,35.2,42.2,3.9,0.0,35.2,0.0,0.0,0.0,0.0,37.9,0.0,3.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000,0.000,0.000,0.000,0.865,0.000,0.134,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
52.410,2,94.3,53.2,12.1,0.0,33.5,0.0,61.0,0.0,0.0,0.0,0.0,53.3,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260,0.000,0.740,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
53.415,3,0.0,74.2,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.867,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0
54.419,4,4.0,56.1,16.6,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,56.0,4.4,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,0.000,0.000,0.083,0.917,0.317,0.000,0.582,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
55.424,5,17.3,81.0,20.8,0.0,0.0,0.0,17.0,0.0,0.0,0.0,81.3,0.0,0.0,0.0,20.9,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
56.429,6,8.2,91.7,40.5,0.0,0.0,0.0,8.2,0.0,0.0,0.0,91.8,0.0,0.0,0.0,40.1,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
57.438,7,0.0,21.3,31.8,0.0,0.0,0.0,0.0,0.0,8.8,0.0,12.1,0.0,0.0,0.0,31.9,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.005,0.000,0.468,0.000,0.536,0.000,0.000,0.000,1.005,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
58.443,8,7.7,69.1,24.2,0.0,0.0,0.0,7.7,0.0,69.2,0.0,0.0,0.0,0.0,0.0,24.2,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
59.448,9,15.5,81.3,16.2,0.0,0.0,0.0,15.9,0.0,81.3,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
60.452,10,16.1,109.3,24.9,0.0,0.0,0.0,15.9,0.0,33.5,75.8,0.0,0.0,0.0,0.0,24.7,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,0.250,0.749,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
61.457,11,20.7,73.0,21.0,0.0,0.0,0.0,15.9,0.0,0.0,73.1,0.0,0.0,0.0,0.0,17.0,3.8,0.0,0.0,0.0,0.0,0.188,0.000,0.678,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.679,0.321,0.000,0.000,0.000,0.000,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
62.462,12,16.8,27.9,28.6,0.0,8.8,8.2,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,0.0,0.0,0.0,0.407,0.592,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
63.471,13,22.2,16.4,22.4,0.0,0.0,22.0,0.0,0.0,0.0,8.2,0.0,8.2,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.000,1.004,0.000,0.000,0.000,0.236,0.000,0.735,0.000,0.000,0.000,1.004,0.000,0.000,0.000,0.000,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
64.476,14,11.7,0.0,24.9,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,0.0,0.0,0.0,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
65.482,15,8.7,28.1,25.6,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,25.8,0.0,0.0,0.0,0.0,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
66.486,16,12.4,35.5,22.1,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,35.2,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.000,0.849,0.000,0.051,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
67.491,17,16.5,55.9,20.4,0.0,0.0,0.0,0.0,16.5,0.0,8.8,0.0,47.3,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,0.189,0.000,0.811,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
68.496,18,19.4,62.9,3.9,0.0,0.0,0.0,0.0,19.8,0.0,63.2,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,0.972,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
69.506,19,20.6,50.3,12.9,0.0,0.0,0.0,0.0,20.3,0.0,0.0,45.6,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.005,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.005,0.000,0.000,0.000,0.000,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
70.511,20,15.4,64.6,11.8,0.0,0.0,0.0,0.0,15.4,0.0,0.0,64.8,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
71.516,21,16.0,68.4,4.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,68.1,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
72.522,22,8.3,52.7,4.5,0.0,0.0,0.0,0.0,8.2,24.2,0.0,28.6,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.319,0.000,0.680,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
73.527,23,4.4,41.9,0.0,0.0,0.0,0.0,0.0,4.4,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.400,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
74.536,24,4.0,73.2,0.0,0.0,0.0,0.0,0.0,4.4,73.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.004,1.004,0.000,0.000,0.000,0.000,0.000,0.000,1.004,0.000,0.000,0.000,0.000,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
75.541,25,7.9,96.3,0.0,0.0,0.0,0.0,0.0,7.7,75.8,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.763,0.236,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
76.545,26,7.8,88.8,7.8,0.0,0.0,0.0,0.0,7.7,0.0,39.6,0.0,41.8,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,0.389,0.000,0.577,0.000,0.343,0.000,0.623,0.000,0.000,0.000,0.000,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
77.550,27,0.0,40.6,14.2,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,0.948,0.000,0.018,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
78.555,28,0.0,25.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
79.559,29,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
80.569,30,8.0,34.4,12.3,0.0,0.0,0.0,0.0,8.2,0.0,34.6,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.005,0.000,1.005,0.000,0.000,0.000,1.005,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
81.574,31,3.9,58.0,12.8,0.0,0.0,0.0,0.0,3.8,0.0,24.2,0.0,28.6,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,0.493,0.000,0.439,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
82.579,32,3.9,65.2,15.6,0.0,0.0,0.0,0.0,3.8,0.0,0.0,51.7,13.2,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,0.000,0.678,0.322,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
83.583,33,4.3,115.5,22.9,0.0,0.0,0.0,0.0,4.4,74.7,0.0,40.7,0.0,0.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.649,0.000,0.350,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
84.588,34,11.7,49.3,8.2,0.0,0.0,7.7,0.0,0.0,49.5,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.754,0.000,0.112,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
85.593,35,12.4,52.5,33.9,0.0,0.0,12.6,0.0,0.0,52.8,0.0,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
86.603,36,0.0,61.5,40.1,0.0,0.0,0.0,0.0,0.0,61.5,0.0,0.0,0.0,0.0,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.000,1.005,0.000,0.000,1.005,0.000,0.000,0.000,0.000,1.005,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
87.607,37,7.7,78.1,17.1,0.0,0.0,7.7,0.0,0.0,54.4,18.1,0.0,5.5,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,0.000,0.726,0.200,0.000,0.040,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
88.612,38,15.5,85.1,30.2,0.0,0.0,15.4,0.0,0.0,0.0,6.0,0.0,79.1,10.4,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,0.000,0.000,0.045,0.000,0.955,0.178,0.821,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
89.617,39,15.5,40.6,17.5,0.0,0.0,15.4,0.0,0.0,0.0,40.7,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
90.622,40,15.4,66.0,25.2,0.0,0.0,15.4,0.0,0.0,0.0,65.9,0.0,0.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
91.627,41,15.5,30.2,4.0,0.0,0.0,15.4,0.0,0.0,0.0,30.2,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
92.636,42,23.8,51.8,4.4,0.0,0.0,24.2,0.0,0.0,0.0,51.7,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,1.005,0.000,0.000,0.000,1.005,0.000,0.000,1.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
93.641,43,16.1,40.4,21.0,0.0,0.0,15.9,0.0,0.0,0.0,40.1,0.0,0.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
94.646,44,23.9,54.1,22.2,0.0,0.0,23.6,0.0,0.0,0.0,54.4,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080,0.920,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
95.651,45,29.2,92.7,17.7,0.0,29.7,0.0,0.0,0.0,73.1,19.8,0.0,0.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000,0.000,0.000,0.751,0.248,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
96.656,46,19.3,89.6,22.9,0.0,19.2,0.0,0.0,0.0,89.6,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
97.661,47,20.8,36.9,8.4,0.0,20.9,0.0,0.0,0.0,36.8,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
98.671,48,15.6,37.5,8.7,0.0,15.4,0.0,0.0,0.0,37.4,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.005,0.000,0.000,0.000,1.005,0.000,0.000,0.000,1.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
99.676,49,26.2,60.6,7.8,0.0,26.4,0.0,0.0,0.0,20.9,0.0,34.6,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000,0.000,0.000,0.557,0.000,0.409,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
100.681,50,24.9,51.9,12.7,0.0,24.7,0.0,0.0,0.0,0.0,0.0,52.2,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
101.686,51,4.2,96.1,11.8,0.0,4.4,0.0,0.0,0.0,0.0,33.0,54.9,0.0,3.8,0.0,7.7,0.0,0.0,0.0,0.0,0.0,1.000,0.000,0.000,0.000,0.000,0.353,0.579,0.033,0.213,0.000,0.720,0.000,0.000,0.000,0.000,0.000,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
102.691,52,0.0,82.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,82.4,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
103.702,53,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.005,0.000,0.000,0.000,0.000,1.005,0.000,0.000,0.000,0.000,1.005,0.000,0.000,0.000,0.000,0.000,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
104.707,54,24.4,37.8,8.3,0.0,24.2,0.0,0.0,0.0,0.0,37.9,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
105.712,55,17.4,52.9,4.2,0.0,0.0,0.0,13.7,0.0,0.0,43.4,0.0,4.4,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.053,0.000,0.880,0.000,0.000,0.853,0.000,0.113,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
106.718,56,0.0,66.4,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
107.723,57,8.8,72.8,32.6,0.0,0.0,0.0,8.8,0.0,0.0,56.6,0.0,11.5,8.2,0.0,24.2,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,0.000,0.857,0.000,0.109,0.224,0.000,0.709,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
108.733,58,0.0,24.9,12.2,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.005,0.000,0.000,1.005,0.000,0.000,1.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
109.738,59,0.0,73.2,12.6,0.0,0.0,0.0,0.0,0.0,35.7,37.4,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,0.366,0.594,0.006,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
110.743,60,0.0,122.6,8.2,0.0,0.0,0.0,0.0,0.0,40.1,0.0,72.5,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,0.333,0.000,0.600,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0
111.748,61,0.0,62.9,6.1,0.0,0.0,0.0,0.0,0.0,25.3,0.0,33.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,0.516,0.000,0.450,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
112.754,62,4.0,8.6,0.0,0.0,0.0,0.0,3.8,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
113.759,63,4.0,30.7,0.0,0.0,0.0,0.0,3.8,0.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.000,0.000,0.906,0.000,0.060,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
114.769,64,106.6,76.4,0.0,0.0,0.0,0.0,106.6,0.0,0.0,0.0,76.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,1.005,0.000,0.000,0.000,1.005,0.000,1.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
115.774,65,64.6,83.1,0.0,0.0,0.0,0.0,59.3,5.5,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.924,0.075,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
116.779,66,105.9,82.9,0.0,0.0,0.0,0.0,0.0,105.5,0.0,37.4,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.066,0.447,0.486,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
117.784,67,13.6,50.7,0.0,0.0,0.0,0.0,0.0,13.7,0.0,33.5,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,0.647,0.000,0.319,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
118.789,68,4.0,34.3,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
119.800,69,8.0,92.8,17.0,0.0,0.0,0.0,0.0,7.7,0.0,77.5,0.0,15.4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.005,0.000,0.835,0.000,0.136,0.903,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0,0,0,1,0,1,0,1,2,0,1,0,0,0,0,0
120.805,70,4.0,43.3,13.1,0.0,0.0,0.0,0.0,3.8,0.0,24.2,0.0,19.2,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,1.000,0.000,0.326,0.000,0.640,0.000,0.000,0.967,0.000,0.000,0.000,0.000,0.000,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0
