0.000,"Info","2024-11-26 13:46:21","Service 'LightDarktestCS_final' : Execution start"
0.000,"Info","Apparatus","Exeter_Zantiks Unit - LT - 105"
0.000,"Info","Unit ID","552421"
"TIME","TIME_BIN","A1_TOTAL_DISTANCE","A2_TOTAL_DISTANCE","A3_TOTAL_DISTANCE","A4_TOTAL_DISTANCE","A1_Z1_D","A1_Z2_D","A1_Z3_D","A1_Z4_D","A2_Z1_D","A2_Z2_D","A2_Z3_D","A2_Z4_D","A3_Z1_D","A3_Z2_D","A3_Z3_D","A3_Z4_D","A4_Z1_D","A4_Z2_D","A4_Z3_D","A4_Z4_D","A1_Z1_T","A1_Z2_T","A1_Z3_T","A1_Z4_T","A2_Z1_T","A2_Z2_T","A2_Z3_T","A2_Z4_T","A3_Z1_T","A3_Z2_T","A3_Z3_T","A3_Z2_T","A4_Z1_T","A4_Z2_T","A4_Z3_T","A4_Z4_T","A1_Z1_C","A1_Z2_C","A1_Z3_C","A1_Z4_C","A2_Z1_C","A2_Z2_C","A2_Z3_C","A2_Z4_C","A3_Z1_C","A3_Z2_C","A3_Z3_C","A3_Z4_C","A4_Z1_C","A4_Z2_C","A4_Z3_C","A4_Z4_C"
51.494,1,0.0,16.4,21.2,40.6,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.0,0.0,21.1,5.0,0.0,36.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.267,0.000,0.732,0.000,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
52.499,2,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
53.504,3,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
54.509,4,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
55.513,5,0.0,0.0,4.5,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,61.6,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
56.518,6,0.0,0.0,7.8,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,24.4,7.8,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.741,0.258,0.000,0.000,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
57.528,7,0.0,42.3,7.8,39.5,0.0,0.0,0.0,0.0,26.1,0.0,16.1,0.0,0.0,0.0,0.0,7.8,0.0,39.4,0.0,0.0,0.000,0.000,0.000,0.000,0.669,0.000,0.336,0.000,0.000,0.000,0.000,1.005,0.000,1.005,0.000,0.000,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
58.533,8,0.0,18.2,12.0,41.5,0.0,0.0,0.0,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,28.3,0.0,13.3,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.759,0.000,0.240,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
59.538,9,0.0,44.3,8.5,4.2,0.0,0.0,0.0,0.0,18.3,0.0,26.1,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,4.4,0.000,0.000,0.000,0.000,0.254,0.000,0.745,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
60.542,10,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
